,FishID,temp,fifth_perc_MO2_mg_hr,fifth_perc_MO2_mg_hr_kg,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,Chamber,Chamber_pos,sex,pop,Channel,length,mass,mass_kg,wam_date,Weekday,accl_order
14,G1R2P5,12,2.217248353,357.6207021,2.276732806,367.2149687,6,b,M,NOC,3,72,6.2,0.0062,3/21/19,Thursday,1
21,G1R4P6,12,2.090051124,237.5058096,2.140488756,243.2373586,17,a,M,OCE,9,78,8.8,0.0088,3/21/19,Thursday,1
27,G2G3R5,12,1.838852339,183.8852339,1.950754036,195.0754036,16,b,F,NOC,8,80,10,0.01,3/21/19,Thursday,1
36,G2O4G6,12,1.551088039,267.4289722,1.603597987,276.4824115,1,a,M,NOC,1,72,5.8,0.0058,3/21/19,Thursday,1
42,G2P4G5,12,1.592344728,124.4019319,1.622288046,126.7412536,20,b,F,SOC,10,90,12.8,0.0128,3/21/19,Thursday,1
60,G4G5R6,12,1.549552819,206.6070426,1.566653147,208.8870862,14,b,M,NOC,7,75,7.5,0.0075,3/21/19,Thursday,1
71,O1G3O6,12,1.360978304,162.0212267,1.400107498,166.679464,15,a,F,NOC,8,77,8.4,0.0084,3/21/19,Thursday,1
74,O1O2R5,12,1.952051846,216.8946496,1.993549344,221.5054827,4,b,F,NOC,2,81,9,0.009,3/21/19,Thursday,1
99,O2O4R5,12,1.973450681,186.1745926,2.03207848,191.7055169,2,b,F,NOC,1,85,10.6,0.0106,3/21/19,Thursday,1
122,P1G2R3,12,2.417192616,331.1222761,2.467920725,338.0713323,12,b,M,SOC,6,75,7.3,0.0073,3/21/19,Thursday,1
127,P1G4G5,12,2.441155322,176.8953132,2.740096715,198.557733,10,b,F,NOC,5,91,13.8,0.0138,3/21/19,Thursday,1
152,P2O4G5,12,2.902128166,386.9504222,2.922063512,389.6084682,8,b,F,SOC,4,75,7.5,0.0075,3/21/19,Thursday,1
166,R1G2P4,12,2.019471925,219.5078179,2.059430695,223.8511624,9,a,F,NOC,5,80,9.2,0.0092,3/21/19,Thursday,1
171,R1G3R5,12,1.424238406,171.5949887,1.468820133,176.9662811,18,b,M,SOC,9,78,8.3,0.0083,3/21/19,Thursday,1
176,R1O2P6,12,3.339821443,203.647649,3.395664493,207.052713,7,a,F,SOC,4,94,16.4,0.0164,3/21/19,Thursday,1
213,R3G5O6,12,3.159516269,493.6744171,3.218408133,502.8762707,3,a,M,OCE,2,73,6.4,0.0064,3/21/19,Thursday,1
223,R3R5R6,12,1.474816499,155.243842,1.508669839,158.8073515,5,a,M,SOC,3,83,9.5,0.0095,3/21/19,Thursday,1
3,G1O2G6,12,2.031249675,223.21425,2.054763362,225.7981716,14,b,F,OCE,7,74,9.1,0.0091,4/2/19,Tuesday,1
82,O1R2G5,12,2.119028871,298.4547706,2.134547271,300.6404607,12,b,M,OCE,6,75,7.1,0.0071,4/2/19,Tuesday,1
92,O2G5R6,12,1.972583627,303.4744041,1.991800899,306.4309075,19,a,M,OCE,10,70,6.5,0.0065,4/2/19,Tuesday,1
