Num,Loc,DateTime,Date,Time,MMT,Tide
1,NOC,7/25/18 9:00,7/25/18,9:00,26.683,H
2,NOC,7/25/18 21:00,7/25/18,21:00,26.488,H
3,NOC,7/26/18 9:00,7/26/18,9:00,26.683,H
4,NOC,7/26/18 21:00,7/26/18,21:00,26.977,H
5,NOC,7/27/18 9:00,7/27/18,9:00,27.173,H
6,NOC,7/28/18 0:00,7/28/18,0:00,26.39,H
7,NOC,7/28/18 12:00,7/28/18,12:00,28.655,H
8,NOC,7/29/18 0:00,7/29/18,0:00,27.272,H
9,NOC,7/29/18 12:00,7/29/18,12:00,26.977,H
10,NOC,7/30/18 0:00,7/30/18,0:00,25.902,H
11,NOC,7/30/18 12:00,7/30/18,12:00,26.585,H
12,NOC,7/31/18 0:00,7/31/18,0:00,24.738,H
13,NOC,7/31/18 12:00,7/31/18,12:00,26.488,H
14,NOC,8/1/18 0:00,8/1/18,0:00,26.39,H
15,NOC,8/1/18 15:00,8/1/18,15:00,27.961,H
16,NOC,8/2/18 3:00,8/2/18,3:00,26.585,H
17,NOC,8/2/18 15:00,8/2/18,15:00,29.352,H
18,NOC,8/3/18 3:00,8/3/18,3:00,27.272,H
19,NOC,8/3/18 15:00,8/3/18,15:00,29.652,H
20,NOC,8/4/18 3:00,8/4/18,3:00,27.173,H
21,NOC,8/4/18 15:00,8/4/18,15:00,29.552,H
22,NOC,8/5/18 3:00,8/5/18,3:00,26.781,H
23,NOC,8/5/18 18:00,8/5/18,18:00,29.452,H
24,NOC,8/6/18 6:00,8/6/18,6:00,26.977,H
25,NOC,8/6/18 18:00,8/6/18,18:00,29.552,H
26,NOC,8/7/18 6:00,8/7/18,6:00,27.764,H
27,NOC,8/7/18 18:00,8/7/18,18:00,29.953,H
28,NOC,8/8/18 6:00,8/8/18,6:00,28.159,H
29,NOC,8/8/18 21:00,8/8/18,21:00,29.452,H
30,NOC,8/9/18 9:00,8/9/18,9:00,28.754,H
31,NOC,8/9/18 21:00,8/9/18,21:00,29.352,H
32,NOC,8/10/18 9:00,8/10/18,9:00,27.961,H
33,NOC,8/10/18 21:00,8/10/18,21:00,28.655,H
34,NOC,8/11/18 9:00,8/11/18,9:00,28.357,H
35,NOC,8/12/18 0:00,8/12/18,0:00,26.683,H
36,NOC,8/12/18 12:00,8/12/18,12:00,28.357,H
37,NOC,8/13/18 0:00,8/13/18,0:00,28.06,H
38,NOC,8/13/18 12:00,8/13/18,12:00,27.567,H
39,NOC,8/14/18 0:00,8/14/18,0:00,27.961,H
40,NOC,8/14/18 12:00,8/14/18,12:00,28.357,H
41,NOC,8/15/18 0:00,8/15/18,0:00,26,H
42,NOC,8/15/18 15:00,8/15/18,15:00,28.655,H
43,NOC,8/16/18 3:00,8/16/18,3:00,26.195,H
44,NOC,8/16/18 15:00,8/16/18,15:00,28.06,H
45,NOC,8/17/18 3:00,8/17/18,3:00,26.39,H
46,NOC,8/17/18 15:00,8/17/18,15:00,29.552,H
47,NOC,8/18/18 3:00,8/18/18,3:00,27.272,H
48,NOC,8/18/18 15:00,8/18/18,15:00,28.853,H
49,NOC,8/19/18 6:00,8/19/18,6:00,24.931,H
50,NOC,8/19/18 18:00,8/19/18,18:00,23.869,H
51,NOC,8/20/18 6:00,8/20/18,6:00,22.717,H
52,NOC,8/20/18 18:00,8/20/18,18:00,25.222,H
53,NOC,8/21/18 6:00,8/21/18,6:00,23.677,H
54,NOC,8/21/18 18:00,8/21/18,18:00,25.805,H
55,NOC,8/22/18 9:00,8/22/18,9:00,25.319,H
56,NOC,8/22/18 21:00,8/22/18,21:00,26,H
57,NOC,8/23/18 9:00,8/23/18,9:00,23.1,H
58,NOC,8/23/18 21:00,8/23/18,21:00,24.545,H
59,NOC,8/24/18 9:00,8/24/18,9:00,23.196,H
60,NOC,8/24/18 21:00,8/24/18,21:00,25.61,H
61,NOC,8/25/18 9:00,8/25/18,9:00,24.158,H
62,NOC,8/25/18 21:00,8/25/18,21:00,25.805,H
63,NOC,8/26/18 12:00,8/26/18,12:00,26,H
64,NOC,8/27/18 0:00,8/27/18,0:00,25.61,H
65,NOC,8/27/18 12:00,8/27/18,12:00,27.272,H
66,NOC,8/28/18 0:00,8/28/18,0:00,26.39,H
67,NOC,8/28/18 12:00,8/28/18,12:00,26.977,H
68,NOC,8/29/18 0:00,8/29/18,0:00,27.173,H
69,NOC,8/29/18 12:00,8/29/18,12:00,28.159,H
70,NOC,8/30/18 0:00,8/30/18,0:00,27.764,H
71,NOC,8/30/18 12:00,8/30/18,12:00,28.853,H
72,NOC,8/31/18 0:00,8/31/18,0:00,28.853,H
73,NOC,8/31/18 15:00,8/31/18,15:00,26,H
74,NOC,9/1/18 3:00,9/1/18,3:00,23.581,H
75,NOC,9/1/18 15:00,9/1/18,15:00,26.781,H
76,NOC,9/2/18 3:00,9/2/18,3:00,25.028,H
77,SOC,7/25/18 21:00,7/25/18,21:00,26.195,H
78,SOC,7/26/18 9:00,7/26/18,9:00,26.39,H
79,SOC,7/26/18 21:00,7/26/18,21:00,26.781,H
80,SOC,7/27/18 9:00,7/27/18,9:00,28.06,H
81,SOC,7/27/18 21:00,7/27/18,21:00,28.06,H
82,SOC,7/28/18 12:00,7/28/18,12:00,29.652,H
83,SOC,7/29/18 0:00,7/29/18,0:00,26.39,H
84,SOC,7/29/18 12:00,7/29/18,12:00,27.862,H
85,SOC,7/30/18 0:00,7/30/18,0:00,26.39,H
86,SOC,7/30/18 12:00,7/30/18,12:00,26.585,H
87,SOC,7/31/18 0:00,7/31/18,0:00,24.835,H
88,SOC,7/31/18 12:00,7/31/18,12:00,26.879,H
89,SOC,8/1/18 0:00,8/1/18,0:00,25.61,H
90,SOC,8/1/18 15:00,8/1/18,15:00,28.953,H
91,SOC,8/2/18 3:00,8/2/18,3:00,25.902,H
92,SOC,8/2/18 15:00,8/2/18,15:00,30.255,H
93,SOC,8/3/18 3:00,8/3/18,3:00,26.977,H
94,SOC,8/3/18 15:00,8/3/18,15:00,30.457,H
95,SOC,8/4/18 3:00,8/4/18,3:00,27.075,H
96,SOC,8/4/18 15:00,8/4/18,15:00,28.456,H
97,SOC,8/5/18 3:00,8/5/18,3:00,26.39,H
98,SOC,8/5/18 18:00,8/5/18,18:00,29.752,H
99,SOC,8/6/18 6:00,8/6/18,6:00,27.075,H
100,SOC,8/6/18 18:00,8/6/18,18:00,28.853,H
101,SOC,8/7/18 6:00,8/7/18,6:00,26.879,H
102,SOC,8/7/18 18:00,8/7/18,18:00,29.552,H
103,SOC,8/8/18 6:00,8/8/18,6:00,27.075,H
104,SOC,8/8/18 21:00,8/8/18,21:00,28.754,H
105,SOC,8/9/18 9:00,8/9/18,9:00,26.781,H
106,SOC,8/9/18 21:00,8/9/18,21:00,27.665,H
107,SOC,8/10/18 9:00,8/10/18,9:00,26.781,H
108,SOC,8/10/18 21:00,8/10/18,21:00,26.585,H
109,SOC,8/11/18 9:00,8/11/18,9:00,25.319,H
110,SOC,8/12/18 0:00,8/12/18,0:00,25.902,H
111,SOC,8/12/18 12:00,8/12/18,12:00,28.357,H
112,SOC,8/13/18 0:00,8/13/18,0:00,27.665,H
113,SOC,8/13/18 12:00,8/13/18,12:00,27.567,H
114,SOC,8/14/18 0:00,8/14/18,0:00,27.37,H
115,SOC,8/14/18 12:00,8/14/18,12:00,27.862,H
116,SOC,8/15/18 0:00,8/15/18,0:00,26,H
117,SOC,8/15/18 15:00,8/15/18,15:00,27.567,H
118,SOC,8/16/18 3:00,8/16/18,3:00,25.805,H
119,SOC,8/16/18 15:00,8/16/18,15:00,28.953,H
120,SOC,8/17/18 3:00,8/17/18,3:00,26.977,H
121,SOC,8/17/18 15:00,8/17/18,15:00,30.457,H
122,SOC,8/18/18 3:00,8/18/18,3:00,27.764,H
123,SOC,8/18/18 15:00,8/18/18,15:00,29.252,H
124,SOC,8/19/18 6:00,8/19/18,6:00,26.585,H
125,SOC,8/19/18 18:00,8/19/18,18:00,25.222,H
126,SOC,8/20/18 6:00,8/20/18,6:00,24.158,H
127,SOC,8/20/18 18:00,8/20/18,18:00,26.195,H
128,SOC,8/21/18 6:00,8/21/18,6:00,24.931,H
129,SOC,8/21/18 18:00,8/21/18,18:00,26.195,H
130,SOC,8/22/18 9:00,8/22/18,9:00,25.513,H
131,SOC,8/22/18 21:00,8/22/18,21:00,25.513,H
132,SOC,8/23/18 9:00,8/23/18,9:00,24.835,H
133,SOC,8/23/18 21:00,8/23/18,21:00,25.222,H
134,SOC,8/24/18 9:00,8/24/18,9:00,24.641,H
135,SOC,8/24/18 21:00,8/24/18,21:00,26.195,H
136,SOC,8/25/18 9:00,8/25/18,9:00,24.835,H
137,SOC,8/25/18 21:00,8/25/18,21:00,25.416,H
138,SOC,8/26/18 12:00,8/26/18,12:00,27.468,H
139,SOC,8/27/18 0:00,8/27/18,0:00,25.416,H
140,SOC,8/27/18 12:00,8/27/18,12:00,28.853,H
141,SOC,8/28/18 0:00,8/28/18,0:00,26.39,H
142,SOC,8/28/18 12:00,8/28/18,12:00,30.054,H
143,SOC,8/29/18 0:00,8/29/18,0:00,27.075,H
144,SOC,8/29/18 12:00,8/29/18,12:00,29.252,H
145,SOC,8/30/18 0:00,8/30/18,0:00,26.781,H
146,SOC,8/30/18 12:00,8/30/18,12:00,29.452,H
147,SOC,8/31/18 0:00,8/31/18,0:00,28.953,H
148,SOC,8/31/18 15:00,8/31/18,15:00,26.977,H
149,SOC,9/1/18 3:00,9/1/18,3:00,25.708,H
150,SOC,9/1/18 15:00,9/1/18,15:00,26.585,H
151,SOC,9/2/18 3:00,9/2/18,3:00,24.641,H
152,OCE,7/25/18 21:00,7/25/18,21:00,32.188,H
153,OCE,7/26/18 9:00,7/26/18,9:00,31.166,H
154,OCE,7/26/18 21:00,7/26/18,21:00,31.676,H
155,OCE,7/27/18 9:00,7/27/18,9:00,31.268,H
156,OCE,7/28/18 0:00,7/28/18,0:00,32.188,H
157,OCE,7/28/18 12:00,7/28/18,12:00,31.983,H
158,OCE,7/29/18 0:00,7/29/18,0:00,31.268,H
159,OCE,7/29/18 12:00,7/29/18,12:00,29.853,H
160,OCE,7/30/18 0:00,7/30/18,0:00,30.154,H
161,OCE,7/30/18 12:00,7/30/18,12:00,29.652,H
162,OCE,7/31/18 0:00,7/31/18,0:00,29.152,H
163,OCE,7/31/18 12:00,7/31/18,12:00,29.652,H
164,OCE,8/1/18 0:00,8/1/18,0:00,29.552,H
165,OCE,8/1/18 15:00,8/1/18,15:00,30.659,H
166,OCE,8/2/18 3:00,8/2/18,3:00,30.862,H
167,OCE,8/2/18 15:00,8/2/18,15:00,32.188,H
168,OCE,8/3/18 3:00,8/3/18,3:00,31.676,H
169,OCE,8/3/18 15:00,8/3/18,15:00,33.118,H
170,OCE,8/4/18 3:00,8/4/18,3:00,31.88,H
171,OCE,8/4/18 15:00,8/4/18,15:00,33.222,H
172,OCE,8/5/18 3:00,8/5/18,3:00,30.659,H
173,OCE,8/5/18 18:00,8/5/18,18:00,32.497,H
174,OCE,8/6/18 6:00,8/6/18,6:00,31.37,H
175,OCE,8/6/18 18:00,8/6/18,18:00,32.704,H
176,OCE,8/7/18 6:00,8/7/18,6:00,31.166,H
177,OCE,8/7/18 18:00,8/7/18,18:00,33.118,H
178,OCE,8/8/18 6:00,8/8/18,6:00,31.983,H
179,OCE,8/8/18 21:00,8/8/18,21:00,33.118,H
180,OCE,8/9/18 9:00,8/9/18,9:00,31.268,H
181,OCE,8/9/18 21:00,8/9/18,21:00,31.88,H
182,OCE,8/10/18 9:00,8/10/18,9:00,30.054,H
183,OCE,8/10/18 21:00,8/10/18,21:00,31.778,H
184,OCE,8/11/18 9:00,8/11/18,9:00,29.752,H
185,OCE,8/12/18 0:00,8/12/18,0:00,29.853,H
186,OCE,8/12/18 12:00,8/12/18,12:00,30.659,H
187,OCE,8/13/18 0:00,8/13/18,0:00,30.659,H
188,OCE,8/13/18 12:00,8/13/18,12:00,30.76,H
189,OCE,8/14/18 0:00,8/14/18,0:00,30.457,H
190,OCE,8/14/18 12:00,8/14/18,12:00,30.255,H
191,OCE,8/15/18 0:00,8/15/18,0:00,29.752,H
192,OCE,8/15/18 15:00,8/15/18,15:00,30.76,H
193,OCE,8/16/18 3:00,8/16/18,3:00,29.652,H
194,OCE,8/16/18 15:00,8/16/18,15:00,31.064,H
195,OCE,8/17/18 3:00,8/17/18,3:00,30.255,H
196,OCE,8/17/18 15:00,8/17/18,15:00,32.086,H
197,OCE,8/18/18 3:00,8/18/18,3:00,31.37,H
198,OCE,8/18/18 15:00,8/18/18,15:00,32.497,H
199,OCE,8/19/18 6:00,8/19/18,6:00,30.356,H
200,OCE,8/19/18 18:00,8/19/18,18:00,28.754,H
201,OCE,8/20/18 6:00,8/20/18,6:00,27.468,H
202,OCE,8/20/18 18:00,8/20/18,18:00,28.555,H
203,OCE,8/21/18 6:00,8/21/18,6:00,27.961,H
204,OCE,8/21/18 18:00,8/21/18,18:00,28.754,H
205,OCE,8/22/18 9:00,8/22/18,9:00,29.053,H
206,OCE,8/22/18 21:00,8/22/18,21:00,28.853,H
207,OCE,8/23/18 9:00,8/23/18,9:00,27.665,H
208,OCE,8/23/18 21:00,8/23/18,21:00,28.159,H
209,OCE,8/24/18 9:00,8/24/18,9:00,27.764,H
210,OCE,8/24/18 21:00,8/24/18,21:00,29.053,H
211,OCE,8/25/18 9:00,8/25/18,9:00,28.555,H
212,OCE,8/25/18 21:00,8/25/18,21:00,28.754,H
213,OCE,8/26/18 12:00,8/26/18,12:00,29.252,H
214,OCE,8/27/18 0:00,8/27/18,0:00,29.752,H
215,OCE,8/27/18 12:00,8/27/18,12:00,30.054,H
216,OCE,8/28/18 0:00,8/28/18,0:00,30.558,H
217,OCE,8/28/18 12:00,8/28/18,12:00,31.268,H
218,OCE,8/29/18 0:00,8/29/18,0:00,31.37,H
219,OCE,8/29/18 12:00,8/29/18,12:00,31.88,H
220,OCE,8/30/18 0:00,8/30/18,0:00,31.574,H
221,OCE,8/30/18 12:00,8/30/18,12:00,32.6,H
222,OCE,8/31/18 0:00,8/31/18,0:00,32.086,H
223,OCE,8/31/18 15:00,8/31/18,15:00,29.752,H
224,OCE,9/1/18 3:00,9/1/18,3:00,28.754,H
225,OCE,9/1/18 15:00,9/1/18,15:00,29.652,H
226,OCE,9/2/18 3:00,9/2/18,3:00,28.555,H
