group,alive,date_died,FishID,pop,sex,length_nov,weight_nov,length_wam,weight_wam,ctmax_date,temp,ctmax,vernier,accl_order,habitat_temp
B,Y,,P2G3P6,NOC,M,54,4.1,70,5.2,3/25/19,12,34.9,y,1,28
B,Y,,P1O3R4,NOC,M,75,10.3,92,12.9,3/25/19,12,35.2,y,1,28
B,Y,,R1P2O5,NOC,M,66,7.6,80,7.8,3/25/19,12,33.9,y,1,28
B,Y,,R2P5P6,OCE,F,61,5.9,84,9.3,3/25/19,12,34.4,y,1,32
B,Y,,G1O3R6,SOC,M,61,6.6,78,8.3,3/25/19,12,35,y,1,28
B,Y,,G1R2R6,SOC,M,64,6.1,77,7.1,3/25/19,12,35.2,y,1,28
B,Y,,R1O2P4,SOC,M,66,7.2,79,9.1,3/25/19,12,34.7,y,1,28
B,Y,,G1R3G5,SOC,M,68,7.2,80,8.4,3/25/19,12,35.6,y,1,28
B,Y,,R3O4O6,NOC,F,61,5.1,65,6.5,3/27/19,12,36,y,1,28
B,Y,,R1O2O5,NOC,F,52,4.1,63,6.1,3/27/19,12,35.8,y,1,28
B,Y,,O1O3R4,NOC,F,58,4.9,64,6.8,3/27/19,12,35.9,y,1,28
B,Y,,R2R4R6,NOC,F,55,3.8,60,5.6,3/27/19,12,36.7,y,1,28
B,Y,,R2P3G4,NOC,M,45,2.3,46,2.4,3/27/19,12,35.3,y,1,28
B,Y,,R2O3O6,NOC,M,51,3.1,54,4.1,3/27/19,12,36.4,y,1,28
B,Y,,O1G3P6,OCE,M,68,8.5,73,10,3/27/19,12,36.2,y,1,32
B,Y,,R3P5G6,OCE,M,63,7.5,68,8.7,3/27/19,12,36.3,y,1,32
B,Y,,G1O5P6,OCE,M,73,11.4,76,11.9,3/27/19,12,35.6,y,1,32
B,Y,,P3R4R5,OCE,M,69,9.8,75,10.8,3/27/19,12,36.5,y,1,32
B,Y,,P1G4O5,SOC,M,70,9.4,72,11.7,3/27/19,12,35.6,y,1,28
B,Y,,P1G4G5,NOC,F,73,10.1,91,13.8,3/28/19,12,36.3,y,1,28
B,Y,6/21/19,O2O4R5,NOC,F,67,7.1,85,10.6,3/28/19,12,36.5,y,1,28
B,Y,,R1G2P4,NOC,F,62,5.8,80,9.2,3/28/19,12,35.9,y,1,28
B,Y,,O1O2R5,NOC,F,65,6.3,81,9,3/28/19,12,35.5,y,1,28
B,Y,,G1R2P5,NOC,M,57,4.4,75,7.5,3/28/19,12,36.6,y,1,28
B,Y,,G2O4G6,NOC,M,55,4.1,72,5.8,3/28/19,12,36.1,y,1,28
B,Y,,R3G5O6,OCE,M,62,5.1,73,6.4,3/28/19,12,35.6,y,1,32
B,Y,,R1O2P6,SOC,F,71,9.4,94,16.4,3/28/19,12,36.1,y,1,28
B,Y,,P2O4G5,SOC,F,59,5.3,75,7.5,3/28/19,12,36,y,1,28
B,Y,,R3R5R6,SOC,M,64,7.4,83,9.5,3/28/19,12,35.4,y,1,28
B,Y,6/21/19,O1G3O6,NOC,F,63,6.2,77,8.4,4/3/19,12,35.9,y,1,28
B,Y,,O1R2O4,NOC,F,71,8.5,85,10.8,4/3/19,12,36.4,y,1,28
B,Y,,G2G3R5,NOC,F,65,6.8,80,10,4/3/19,12,36,y,1,28
B,Y,,P2G4P5,NOC,M,59,5.4,71,6.5,4/3/19,12,36,y,1,28
B,Y,,G4G5R6,NOC,M,59,5.5,75,7.5,4/3/19,12,36.4,y,1,28
B,Y,,G1R4P6,OCE,M,62,6.9,78,8.8,4/3/19,12,36.4,y,1,32
B,Y,,R3R4G6,SOC,F,53,3.7,68,5.7,4/3/19,12,35.7,y,1,28
B,Y,,G2P4G5,SOC,F,74,9.9,90,12.8,4/3/19,12,36.3,y,1,28
B,Y,,R1G3R5,SOC,M,64,6.2,78,8.3,4/3/19,12,35,y,1,28
B,Y,,P1G2R3,SOC,M,63,5.8,75,7.3,4/3/19,12,35.7,y,1,28
B,Y,,O4O5R6,OCE,F,76,10.5,95,15.9,4/9/19,12,36.4,y,1,32
B,Y,,P2R4G5,OCE,F,65,8.2,82,10.6,4/9/19,12,35.5,y,1,32
B,Y,,P1R3R5,OCE,F,71,8.8,90,13.2,4/9/19,12,36.3,y,1,32
B,Y,,O4G5G6,OCE,F,73,9,93,15.3,4/9/19,12,36.1,y,1,32
B,Y,,R1R2R6,OCE,F,60,5.6,75,7.6,4/9/19,12,36.3,y,1,32
B,Y,,O2R5R6,OCE,M,58,5.3,75,7.2,4/9/19,12,36.4,y,1,32
B,Y,,R1R3G6,OCE,M,62,6.8,75,7.3,4/9/19,12,36.5,y,1,32
B,Y,,O2G5R6,OCE,M,54,4.9,70,6.5,4/9/19,12,35.7,y,1,32
B,Y,,O1R2G5,OCE,M,61,5.9,75,7.1,4/9/19,12,36.8,y,1,32
B,Y,,R1O2R5,OCE,M,64,6.4,81,8.8,4/9/19,12,35.1,y,1,32
B,Y,,P3R4G6,SOC,F,57,4.9,75,7.3,4/9/19,12,35.6,y,1,28
B,Y,,G2O3R5,SOC,F,66,6.7,80,8.7,4/9/19,12,34.8,y,1,28
B,Y,,O3G5R6,SOC,F,61,5.2,81,10,4/9/19,12,36.6,y,1,28
B,Y,,G1R2G5,SOC,F,64,6.7,79,8.9,4/9/19,12,35.8,y,1,28
B,Y,,P1G5O6,SOC,F,68,8.6,85,13.7,4/9/19,12,35.8,y,1,28
B,Y,,R1R5P6,SOC,M,68,8.4,87,11.4,4/9/19,12,35.4,y,1,28
B,Y,,O3O4G5,SOC,M,70,9,89,11.9,4/9/19,12,35.4,y,1,28
B,Y,,R2O3O5,SOC,M,61,5.8,74,7.6,4/9/19,12,36.2,y,1,28
