Sensor_Name,cycle,slope,slopeR2,substrate,fish_order,FishID,pop,sex,cam_length,cam_mass,heart_mass,cam_date,temp,MR_pmol_s,habitat_temp
CaMO1,1,1.865850714,0.984078862,Glucose,1,G1G2G6,NOC,M,67,9.3,0.009,6/25/19,12,26.31644339,28
CaMO2,2,1.073524312,0.716170857,FA,1,G1G2G6,NOC,M,67,9.3,0.009,6/25/19,12,33.96387695,28
CaMO3,3,0.982108328,0.943833289,LKA,1,G1G2G6,NOC,M,67,9.3,0.009,6/25/19,12,19.3604049,28
CaMO3,3,0.982108328,0.943833289,INH,1,G1G2G6,NOC,M,67,9.3,0.009,6/25/19,12,NA,28
CaMO1,3,3.567722238,0.993686889,Glucose,3,G1O2R4,SOC,M,78,14.5,0.023,6/7/19,12,52.64704229,28
CaMO2,4,1.326721639,0.966066763,FA,3,G1O2R4,SOC,M,78,14.5,0.023,6/7/19,12,19.5711885,28
CaMO4,6,1.743382606,0.988665528,INH,3,G1O2R4,SOC,M,78,14.5,0.023,6/7/19,12,31.59565901,28
CaMO3,5,1.890689636,0.987213397,LKA,3,G1O2R4,SOC,M,78,14.5,0.023,6/7/19,12,39.06056545,28
CaMO1,6,3.727345374,0.994204148,Glucose,6,G1O3R6,SOC,M,74,13.1,0.009,6/28/19,28,56.51355788,28
CaMO2,7,2.714160044,0.997949729,FA,6,G1O3R6,SOC,M,74,13.1,0.009,6/28/19,28,40.76990252,28
CaMO4,9,1.862943298,0.9903245,INH,6,G1O3R6,SOC,M,74,13.1,0.009,6/28/19,28,24.38293768,28
CaMO3,8,2.002644624,0.994031096,LKA,6,G1O3R6,SOC,M,74,13.1,0.009,6/28/19,28,30.88321791,28
CaMO1,15,3.694093661,0.998399202,Glucose,15,G1O5P6,OCE,M,84,16.3,0.017,6/26/19,28,56.95904086,32
CaMO2,16,2.459811059,0.997519544,FA,15,G1O5P6,OCE,M,84,16.3,0.017,6/26/19,28,37.12319878,32
CaMO4,18,1.758437344,0.993949962,INH,15,G1O5P6,OCE,M,84,16.3,0.017,6/26/19,28,19.79227346,32
CaMO3,17,2.099124721,0.997127927,LKA,15,G1O5P6,OCE,M,84,16.3,0.017,6/26/19,28,37.44512833,32
CaMO1,1,5.270608759,0.996533172,Glucose,1,G1P3P5,SOC,F,80,19.9,0.026,6/24/19,12,80.61011742,28
CaMO2,2,3.387219935,0.994590315,FA,1,G1P3P5,SOC,F,80,19.9,0.026,6/24/19,12,43.9238756,28
CaMO4,4,1.928435121,0.978273231,INH,1,G1P3P5,SOC,F,80,19.9,0.026,6/24/19,12,43.5447507,28
CaMO3,3,1.853026952,0.986155685,LKA,1,G1P3P5,SOC,F,80,19.9,0.026,6/24/19,12,38.75840208,28
CaMO1,9,2.809364881,0.997005795,Glucose,9,G1R2P5,NOC,M,71,8,0.007,6/28/19,28,41.97886674,28
CaMO2,10,2.292438623,0.994961997,FA,9,G1R2P5,NOC,M,71,8,0.007,6/28/19,28,34.09264669,28
CaMO4,12,1.239760207,0.97551239,INH,9,G1R2P5,NOC,M,71,8,0.007,6/28/19,28,12.4385951,28
CaMO3,11,1.463991297,0.991435815,LKA,9,G1R2P5,NOC,M,71,8,0.007,6/28/19,28,19.66127361,28
CaMO1,7,2.946018338,0.994953436,Glucose,7,G1R2R6,SOC,M,75,9.2,0.011,6/28/19,28,44.14254648,28
CaMO2,8,2.391121978,0.994439535,FA,7,G1R2R6,SOC,M,75,9.2,0.011,6/28/19,28,35.65513314,28
